resume_text,job_title,match_score
QA engineer 6 years automation testing Selenium WebDriver Java TestNG Maven Cucumber BDD API testing Postman JIRA agile regression testing test planning,QA Engineer,85.46
Data analyst SQL Tableau,Data Scientist,53.09
Flutter developer 4 years Dart cross-platform mobile development iOS Android Material Design state management Provider Riverpod Firebase REST API Git CI/CD,Flutter Developer,84.51
Python Django tutorial,Senior Backend Engineer,36.12
Data analyst SQL Tableau,Data Scientist,49.97
Java programming student projects,Senior Java Architect,30.99
Excel Word PowerPoint,Data Engineer,23.44
Data analyst SQL Tableau,Data Scientist,53.25
Blockchain developer 3 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,87.99
Testing manual automation,Senior QA Engineer,55.46
iOS developer 7 years Swift Objective-C Xcode UIKit SwiftUI Core Data Alamofire REST API App Store TestFlight Git CocoaPods SPM MVVM design patterns,iOS Developer,90.61
Python developer 2 years Django Flask,Machine Learning Engineer,52.8
DevOps engineer 6 years AWS EC2 S3 Lambda CloudFormation Docker Kubernetes Jenkins CI/CD Terraform Ansible Linux bash scripting monitoring CloudWatch ECS EKS,DevOps Engineer,90.29
Database administrator 3 years MySQL PostgreSQL Oracle SQL Server performance tuning backup recovery replication clustering indexing query optimization database security,Database Administrator,82.86
Testing manual automation,Senior QA Engineer,62.94
Python developer with 6 years experience in machine learning deep learning data science pandas numpy scikit-learn tensorflow pytorch keras neural networks data analysis statistics SQL data visualization matplotlib seaborn,Data Scientist,89.84
Intern 6 months testing,QA Lead,34.63
Android developer 3 years Kotlin Java Android Studio MVVM Retrofit Room SQLite Firebase Google Play material design REST API Git Jetpack Compose coroutines,Android Developer,91.6
Entry level computer science graduate,Principal Software Engineer,28.15
Java Spring Boot basics,Senior Java Developer,53.99
Product manager 2 years product roadmap agile scrum user stories market research competitive analysis stakeholder management data-driven decision making SQL A/B testing,Product Manager,92.66
Entry level computer science graduate,Principal Software Engineer,41.17
SQL basic queries,Database Administrator,35.05
Testing manual automation,Senior QA Engineer,63.11
Android developer 4 years Kotlin Java Android Studio MVVM Retrofit Room SQLite Firebase Google Play material design REST API Git Jetpack Compose coroutines,Android Developer,92.39
Cybersecurity analyst 2 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,88.29
Java developer 3 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,88.02
Cybersecurity analyst 3 years network security penetration testing ethical hacking vulnerability assessment firewall IDS IPS SIEM incident response security audit CISSP CEH,Security Analyst,83.12
Java Spring Boot basics,Senior Java Developer,64.53
Blockchain developer 6 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,85.74
Python developer 2 years Django Flask,Machine Learning Engineer,48.06
Intern 6 months testing,QA Lead,37.65
React developer JavaScript,Full Stack Developer,62.04
SQL database basics,Database Administrator,53.4
SQL basic queries,Database Administrator,38.5
WordPress basic website,Full Stack Developer,21.38
Intern 6 months testing,QA Lead,32.18
Intern 6 months testing,QA Lead,35.08
Java Spring Boot basics,Senior Java Developer,57.55
Python data analysis pandas,Data Engineer,60.98
Blockchain developer 4 years Solidity Ethereum smart contracts Web3.js DApp development cryptocurrency Bitcoin consensus algorithms distributed systems cryptography,Blockchain Developer,79.89
Java developer 3 years Spring Boot microservices REST API MySQL PostgreSQL Hibernate JPA Maven Gradle unit testing JUnit Mockito agile scrum Docker Kubernetes,Java Developer,91.12
